"Variable","Description","Affects"
"STIGMAN_API_ADDRESS","| **Default** ``0.0.0.0``
| The IP address on which the the API server will listen ","API"
"STIGMAN_API_MAX_JSON_BODY","| **Default** ``5242880``
| The maximum size in bytes of the request body when Content-Type is application/json","API"
"STIGMAN_API_MAX_UPLOAD","| **Default** ``1073741824``
| The maximum size in bytes of the file uploaded with Content-Type multipart/form-data","API"
"STIGMAN_API_PORT","| **Default** ``54000``
| The TCP port on which the server will listen ","API"
"STIGMAN_CLASSIFICATION","| **Default** ``U``
| Sets the classification banner, if any. Available values: ``NONE`` ``U`` ``CUI`` ``C`` ``S`` ``TS`` ``SCI`` ","API, Client"
"STIGMAN_CLIENT_API_BASE","| **Default** ``./api``
| The base URL for Client requests to the API relative to the sever root at / ","Client"
"STIGMAN_CLIENT_DIRECTORY","| **Default** ``./clients``
| The location of the web client files, relative to the API source directory. Note that if running source from a clone of the GitHub repository, the client is located at `../../clients` relative to the API directory. ","API, Client"
"STIGMAN_CLIENT_DISABLED","| **Default** ``false``
| Whether to *not* serve the reference web client","Client"
"STIGMAN_CLIENT_DISPLAY_APPMANAGERS","| **Default** ``true``
| Whether to display application managers the home page of web client","Client"
"STIGMAN_CLIENT_EXTRA_SCOPES","| **No default**
| A space separated list of OAuth2 scopes to request in addition to ``stig-manager:stig`` ``stig-manager:stig:read`` ``stig-manager:collection`` ``stig-manager:user`` ``stig-manager:user:read`` ``stig-manager:op``. Some OIDC providers (Okta) generate a refresh token only if the scope ``offline_access`` is requested","Client"
"STIGMAN_CLIENT_ID","| **Default** ``stig-manager``
| The OIDC clientId of the web client","Client"
"STIGMAN_CLIENT_OIDC_PROVIDER","| **Default** Value of ``STIGMAN_OIDC_PROVIDER``
| Client override of the base URL of the OIDC provider issuing signed JWTs for the API.  The string ``/.well-known/openid-configuration`` will be appended by the client when fetching metadata.","Client "
"STIGMAN_CLIENT_SCOPE_PREFIX","| **No default**
